source,text,created_at
Twitter for iPhone,Starting tomorrow it's going to be #AmericaFirst! Thank you for a great morning Sarasota Florida!Watch here:… https://t.co/ig62Kjkkvl,11-07-2016 17:10:20
Twitter for iPhone,Thank you for you support Virginia! In ONE DAY - get out and #VoteTrumpPence16! #ICYMI: https://t.co/Nid8qcFTwY https://t.co/WOsEcjM8sm,11-07-2016 06:35:39
Twitter for iPhone,Thank you Pennsylvania- I am forever grateful for your amazing support. Lets MAKE AMERICA GREAT AGAIN! #MAGA… https://t.co/qbcJZAzw6z,11-07-2016 04:14:31
Twitter for iPhone,Thank you Michigan! This is a MOVEMENT that will never be seen again- it's our last chance to #DrainTheSwamp! Watch… https://t.co/cSdGkCFYRL,11-07-2016 01:52:18
Twitter for iPhone,Our American comeback story begins 11/8/16. Together we will MAKE AMERICA SAFE &amp; GREAT again for everyone! Watch:… https://t.co/ek8Cn3CgTr,11-07-2016 00:09:41
Twitter for iPhone,Thank you Minnesota! It is time to #DrainTheSwamp &amp; #MAGA! #ICYMI- watch: https://t.co/fVThC7yIL6 https://t.co/e8SaXiJrxj,11-06-2016 23:42:28
Twitter for iPhone,MONDAY - 11/7/2016Scranton Pennsylvania at 5:30pm.https://t.co/BcErCtsPdFGrand Rapids Michigan at 11pm.… https://t.co/pgFMLp0173,11-06-2016 23:08:58
Twitter for iPhone,Thank you Iowa - Get out &amp; #VoteTrumpPence16! https://t.co/HfihPERFgZ https://t.co/QsukELQmKb,11-06-2016 19:26:58
Twitter for iPhone,Van Jones: ‘There Is A Crack in the Blue Wall’ — It Has to Do With Trade: https://t.co/BvEF9cC7o7,11-06-2016 17:06:08
Twitter for iPhone,Great night in Denver Colorado- thank you! Together we will MAKE AMERICA GREAT AGAIN! #ICYMI watch rally here:… https://t.co/LbvNHo6T2k,11-06-2016 06:08:32
Twitter for iPhone,Thank you Reno Nevada. NOTHING will stop us in our quest to MAKE AMERICA SAFE AND GREAT AGAIN! #AmericaFirst… https://t.co/A4eeHoCbGS,11-06-2016 02:03:20
Twitter for iPhone,Join me live in Reno Nevada!https://t.co/T4bf1hrxaA https://t.co/EPqRXHa1CM,11-06-2016 00:20:16
Twitter for iPhone,JOIN ME TOMORROW!MINNESOTA • 2pmhttps://t.co/WcgLh4prS7MICHIGAN • 6pmhttps://t.co/9BqGVKNNrtVIRGINIA • 9:30p… https://t.co/A1oVhCrT6t,11-06-2016 00:19:18
Twitter for iPhone,#DrainTheSwamp!https://t.co/z68vGp9Bvf,11-05-2016 21:46:34
Twitter for iPhone,Top Clinton Aides Bemoan Campaign ‘All Tactics’ No Vision: https://t.co/mHYvQtIq78,11-05-2016 21:39:44
Twitter for iPhone,‘Must Act Immediately’: Clinton Charity Lawyer Told Execs They Were Breaking The Lawhttps://t.co/hsi4qhqTV1,11-05-2016 21:38:01
Twitter for iPhone,Watch Coach Mike Ditka- a great guy and supporter tonight at 8pmE on #WattersWorld with @jessebwatters @FoxNews.,11-05-2016 21:27:32
Twitter for iPhone,Thank you Wilmington North Carolina. We are 3 days away from the CHANGE you've been waiting for your entire life!… https://t.co/6ZJZRBfLST,11-05-2016 20:13:34
Twitter for iPhone,Thank you for the incredible support this morning Tampa Florida! #ICYMI- watch here: https://t.co/q43kHf7MoE https://t.co/1GscFNaV4L,11-05-2016 20:06:21
Twitter for iPhone,Join me in Denver Colorado tonight at 9:30pm: https://t.co/LJYGIK7MriNEW- Scranton Pennsylvania Monday @ 5:30pm: https://t.co/BcErCtsPdF,11-05-2016 16:45:05
Twitter for Android,MAKE AMERICA GREAT AGAIN!,11-05-2016 13:33:10
Twitter for iPhone,Thank you Hershey Pennsylvania. Get out &amp; VOTE on November 8th &amp; we will #MAGA! #RallyForRiley #ICYMI watch here… https://t.co/maWukVBTr8,11-05-2016 02:52:56
Twitter for iPhone,Join me in Denver Colorado tomorrow at 9:30pm!Tickets: https://t.co/LJYGIK7Mri,11-04-2016 23:57:37
Twitter for iPhone,Join me live in Hershey Pennsylvania! #MakeAmericaGreatAgain LIVE: https://t.co/xEj6sZpb12 https://t.co/JWfGI1vlwW,11-04-2016 23:50:57
Twitter for iPhone,The only thing that can stop this corrupt machine is YOU. The only force strong enough to save our country is US.… https://t.co/7dcSHOkuzc,11-04-2016 23:31:28
Twitter for iPhone,Thank you Ohio! VOTE so we can replace Obamacare and save healthcare for every family in the United States! Watch:… https://t.co/7CH8ZnGdOa,11-04-2016 23:14:59
Twitter for iPhone,Join me live in Wilmington Ohio!https://t.co/nQ2p4EulLu,11-04-2016 20:33:12
Twitter for iPhone,If Obama worked as hard on straightening out our country as he has trying to protect and elect Hillary we would all be much better off!,11-04-2016 19:07:20
Twitter for iPhone,'ICE OFFICERS WARN HILLARY IMMIGRATION PLAN WILL UNLEASH GANGS CARTELS &amp; DRUG VIOLENCE NATIONWIDE'… https://t.co/09aSrBwQrv,11-04-2016 18:56:15
Twitter for iPhone,Thank you NH! We will end illegal immigration stop the drugs deport all criminal aliens&amp;save American lives! Watc… https://t.co/uxcazVkb32,11-04-2016 18:46:42
Twitter for iPhone,Clinton Aides: ‘Definitely’ Not Releasing Some HRC Emails:https://t.co/GY5pGKaDoW,11-04-2016 16:28:36
Twitter for iPhone,"The Clinton Campaign at Obama Justice" #DrainTheSwamphttps://t.co/LZkvFc071z,11-04-2016 16:17:22
Twitter for iPhone,Join me today in Wilmington Ohio at 4pm: https://t.co/eCLECMkYLwTomorrow- Tampa Florida at 10am: https://t.co/N9380pVmuM,11-04-2016 15:32:31
Twitter for iPhone,There is no challenge too great no dream outside of our reach! Thank you Selma North Carolina!#ICYMI watch here… https://t.co/8uIrhgYRsl,11-04-2016 02:35:08
Twitter for iPhone,Join me in Wilmington Ohio tomorrow at 4:00pm! It is time to #DrainTheSwamp! Tickets: https://t.co/eCLECM3nmW https://t.co/sb5irRxjxJ,11-03-2016 21:28:01
Twitter for iPhone,#CrookedHillary is unfit to serve. https://t.co/bSuGvInNF1,11-03-2016 20:55:36
Twitter for iPhone,Thank you Concord North Carolina! When WE win on November 8th we are going to Washington D.C. and we are going t… https://t.co/7j4MBn1Waf,11-03-2016 20:52:52
Twitter for iPhone,Watching my beautiful wife Melania speak about our love of country and family. We will make you all very proud.… https://t.co/DiKmSnTlC2,11-03-2016 19:25:37
Twitter for iPhone,Looking at Air Force One @ MIA. Why is he campaigning instead of creating jobs &amp; fixing Obamacare? Get back to work for the American people!,11-03-2016 15:19:12
Twitter for Android,ObamaCare is a total disaster. Hillary Clinton wants to save it by making it even more expensive. Doesn't work I will REPEAL AND REPLACE!,11-03-2016 12:34:14
Twitter for Android,My wife Melania will be speaking in Pennsylvania this afternoon. So exciting big crowds! I will be watching from North Carolina.,11-03-2016 12:27:27
Twitter for iPhone,Thank you Arlene! We will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #DrainTheSwamp https://t.co/tSI0YP2LL9,11-03-2016 03:55:49
Twitter for iPhone,#MakeAmericaGreatAgain #6Days https://t.co/eHTGIEpFsm,11-02-2016 23:34:23
Twitter for iPhone,Thank you Orlando Florida! We are just six days away from delivering justice for every forgotten man woman and ch… https://t.co/LPXBQZ5AXt,11-02-2016 21:30:24
Twitter for iPhone,After decades of lies and scandal Crooked Hillary's corruption is closing in. #DrainTheSwamp! https://t.co/YivCacmkKq,11-02-2016 19:09:28
Twitter for iPhone,Clinton camp fumed when surrogate told supporters Clinton planned to betray labor on TPP post-election: https://t.co/ZZjbGDZP7e,11-02-2016 18:58:34
Twitter for iPhone,"It pays to have friends in high places- like the Justice Department. Clearly the Clintons do." #DrainTheSwamp! https://t.co/KZXB4B156M,11-02-2016 18:57:07
Twitter for iPhone,Thank you Miami! In 6 days we are going to WIN the GREAT STATE of FLORIDA - and we are going to win back the White… https://t.co/MKYPOp0MeD,11-02-2016 17:15:30
Twitter for iPhone,Praying for the families of the two Iowa police who were ambushed this morning. An attack on those who keep us safe is an attack on us all.,11-02-2016 14:37:03
Twitter for Android,"@PYNance: Evangelical women live at #trumptower @pdpryor1 @CissieGLynch @SaysGabrielle https://t.co/k5kGXPR2WA",11-02-2016 13:18:39
Twitter for Android,"@Ravenrantz: #Billygraham's grand daughter #SupportsTrump https://t.co/sKz1SPHzDZ"  So nice thank you Cissy Graham Lynch!!!!,11-02-2016 13:11:06
Twitter for Android,Crooked Hillary Clinton deleted 33000 e-mails AFTER they were subpoenaed by the United States Congress. Guilty - cannot run. Rigged system!,11-02-2016 12:47:48
Twitter for Android,I am going to repeal and replace ObamaCare. We will have MUCH less expensive and MUCH better healthcare. With Hillary costs will triple!,11-02-2016 11:00:30
Twitter for Android,You can change your vote in six states. So now that you see that Hillary was a big mistake change your vote to MAKE AMERICA GREAT AGAIN!,11-02-2016 10:35:56
Twitter for iPhone,Join me in Florida tomorrow!MIAMI•12pmhttps://t.co/A3X71Q6sG2ORLANDO•4pmhttps://t.co/6BqTVoty5CPENSACOLA•7p… https://t.co/kEQuuJeO1B,11-02-2016 03:43:15
Twitter Web Client,Thank you for your incredible support Wisconsin and Governor @ScottWalker! It is time to #DrainTheSwamp &amp; #MAGA!… https://t.co/gKBkKmTudn,11-02-2016 00:32:51
Twitter for iPhone,WikiLeaks emails reveal Podesta urging Clinton camp to 'dump' emails. Time to #DrainTheSwamp!https://t.co/P3ajiACiXK,11-01-2016 21:57:54
Twitter for iPhone,'Podesta urged Clinton team to hand over emails after use of private server emerged' https://t.co/NYvVmoA8wl,11-01-2016 21:46:18
Twitter for iPhone,Mika Brzezinski: Dem Criticism of Comey Reinforcing Idea ‘There’s Something There'https://t.co/EvBp0xESPN https://t.co/QIDBiDpat8,11-01-2016 21:28:55
Twitter for iPhone,Hillary Advisers Wanted Her To Avoid Supporting Israel When Talking To Democrats: https://t.co/y7m8iVU173,11-01-2016 21:20:04
Twitter for iPhone,Trump promises special session to repeal Obamacare: https://t.co/wTCd108yrV,11-01-2016 21:16:57
Twitter for iPhone,'Kept me out of jail': Top DOJ official involved in Clinton probe represented her campaign chairman: https://t.co/QUZn97CEOq,11-01-2016 21:15:42
Twitter for iPhone,.@DarrellIssa is a very good man. Help him win his congressional seat in California.,11-01-2016 18:44:44
Twitter for iPhone,#ICYMI: Governor @mike_pence and I were in Valley Forge Pennsylvania today. You can watch it here:… https://t.co/6GWgmCV23Z,11-01-2016 17:24:18
Twitter for iPhone,So terrible that Crooked didn't report she got the debate questions from Donna Brazile if that were me it would have been front page news!,11-01-2016 14:14:09
Twitter for iPhone,JOIN ME TOMORROW IN FLORIDA!MIAMI•12pmhttps://t.co/A3X71Q6sG2ORLANDO•4pmhttps://t.co/6BqTVoty5CPENSACOLA•7p… https://t.co/kNzrAeuLZO,11-01-2016 13:35:47
Twitter for Android,Crooked Hillary should not be allowed to run for president. She deleted 33000 e-mails AFTER getting a subpoena from U.S. Congress. RIGGED!,11-01-2016 12:01:11
Twitter for Android,Wow now leading in @ABC /@washingtonpost Poll 46 to 45. Gone up 12 points in two weeks mostly before the Crooked Hillary blow-up!,11-01-2016 11:55:47
Twitter for Android,Look at the way Crooked Hillary is handling the e-mail case and the total mess she is in. She is unfit to be president. Bad judgement!,11-01-2016 10:31:46
Twitter for iPhone,Wow! I hear you Warren Michigan. Streaming live - join us America. It is time to DRAIN THE SWAMP!Watch: https://t.co/pjXELwc5E1,10-31-2016 20:49:56
Twitter for iPhone,#ObamacareFail #HillarycareFail https://t.co/gaXOWVI0Xa,10-31-2016 19:08:25
Twitter for iPhone,Thank you Grand Rapids Michigan! #ICYMI- watch: https://t.co/2mDQCs6coB https://t.co/gN7BYfLD9K,10-31-2016 19:00:42
Twitter Web Client,$25 Million+ raised online in just one week! RECORD WEEK. #DrainTheSwamp Today we set a bigger record. Contribute &gt;https://t.co/CZ1QmzCxwO,10-31-2016 18:20:00
Twitter for iPhone,Legendary basketball coach Bobby Knight who has 900+ wins many championships and a gold medal will be introducing… https://t.co/aHltfG7U4I,10-31-2016 16:38:13
Twitter for iPhone,'Hillary's Two Official Favors To Morocco Resulted In $28 Million For Clinton Foundation' #DrainTheSwamphttps://t.co/6qOO7FZSvF,10-31-2016 16:00:19
Twitter for iPhone,Join me tomorrow in Michigan!Grand Rapids at 12pm:https://t.co/xFPRNF7pnFWarren at 3pm:https://t.co/DREwbH7ZVd https://t.co/iyXwiP0rvd,10-31-2016 03:59:48
Twitter for iPhone,Beautiful rally in Albuquerque New Mexico this evening - thank you. Get out &amp; VOTE! #DrainTheSwampWatch rally:… https://t.co/K2RSgt2Zh5,10-31-2016 02:52:08
Twitter for Android,"@slh: I follow Mr.Trump at all of his rallies by watching them on https://t.co/biseaBESvS. He is a lion-hearted warrior who inspires hope,10-30-2016 23:23:26
Twitter for iPhone,Thank you Greeley CO! REAL change means restoring honesty to the govt. Our plan will END govt. corruption! Watch:… https://t.co/qz5AL7zvp4,10-30-2016 23:19:09
Twitter for iPhone,Thank you Las Vegas Nevada- I love you! Departing for Greeley Colorado now. Get out &amp; VOTE! #ICYMI- watch here:… https://t.co/uIloPRtEn9,10-30-2016 19:05:31
Twitter for iPhone,See you tomorrow Michigan!Grand Rapids MI tomorrow at noon:https://t.co/xFPRNEPNZ5Warren MI tomorrow at 3pm:… https://t.co/UHRTgS88B5,10-30-2016 17:58:52
Twitter for Android,Wow Twitter Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!,10-30-2016 14:26:30
Twitter for Android,Hillary and the Dems loved and praised FBI Director Comey just a few days ago. Original evidence was overwhelming should not have delayed!,10-30-2016 14:04:06
Twitter for Android,We are now leading in many polls and many of these were taken before the criminal investigation announcement on Friday - great in states!,10-30-2016 13:55:06
Twitter for iPhone,Great day in Colorado &amp; Arizona. Will be in Nevada Colorado and New Mexico tomorrow - join me!Tickets:… https://t.co/vMPTsLXsCT,10-30-2016 01:36:25
Twitter for iPhone,THANK YOU Phoenix Arizona! Time for new POWERFUL leadership. Just imagine what WE can accomplish in our first 100… https://t.co/gqZLLxcenk,10-30-2016 01:23:28
Twitter for iPhone,So nice - great Americans outside Trump Tower right now. Thank you! https://t.co/34ATTgICTz,10-29-2016 20:02:16
Twitter for iPhone,Departing Golden CO. for Arizona now - after an unbelievable rally. Watch here: https://t.co/zNzmWuZPiVOverflow: https://t.co/93L7JfdmXJ,10-29-2016 19:56:49
Twitter for iPhone,#ObamacareFail https://t.co/iusXk4n9w7,10-29-2016 17:02:04
Twitter for iPhone,Tomorrow!Las Vegas NV- 11a: https://t.co/KluudKImvnGreeley CO- 4p: https://t.co/JYimiIbqKBAlbuquerque NM- 7p: https://t.co/7SCol4vQlM,10-29-2016 16:54:54
Twitter for Android,"@DeplorableCBTP: "In my mind #DonaldTrump is the only way out of this mess." - #PhilRobertson of TV's #DuckDynasty"   Thank you Phil!,10-29-2016 15:37:26
Twitter for Android,I am in Colorado - big day planned - but nothing can be as big as yesterday!,10-29-2016 13:08:22
Twitter for iPhone,Join me in Colorado at 12pm tomorrow - or Arizona at 3pm!TICKETS:Golden: https://t.co/Eix7SspO2ZPhoenix:… https://t.co/pheYCksxq0,10-29-2016 04:11:17
Twitter for iPhone,Thank you Maine New Hampshire and Iowa. The waiting is OVER! The time for change is NOW! We are going to… https://t.co/HVPjw6qeQ2,10-29-2016 04:04:25
Twitter for Android,"@piersmorgan: BOMBSHELL: FBI reopening its investigation into HillaryClinton's email server after new discovery!,10-29-2016 01:30:55
Twitter for Android,Just landed in Iowa - speaking soon!,10-29-2016 01:28:46
Twitter for iPhone,We must not let #CrookedHillary take her CRIMINAL SCHEME into the Oval Office. #DrainTheSwamp https://t.co/GtPkj4xIz6,10-28-2016 19:20:22
Twitter for iPhone,Just out: Neera Tanden Hillary Clinton adviser said “Israel is depressing.” I think Israel is inspiring!,10-28-2016 17:24:08
Twitter for Android,Heading to New Hampshire. Will be talking about the disaster known as ObamaCare!,10-28-2016 17:04:59
Twitter for iPhone,If my people said the things about me that Podesta &amp; Hillary's people said about her I would fire them out of self respect. "Bad instincts",10-28-2016 15:53:19
Twitter for iPhone,Join me tonight in Cedar Rapids Iowa at 7pm: https://t.co/QWaEJpR79nPhoenix Arizona tomorrow night at 3pm: https://t.co/0LjE9qbNLh,10-28-2016 15:39:01
Twitter for Android,"@Jmoschetti1363: @Johnatsrs1949 FBI must be outraged that their hands r tied she has no regard or t secret service FBI or (Dallas)police",10-28-2016 15:27:05
Twitter for iPhone,Thank you Geneva Ohio. If I am elected President I am going to keep RADICAL ISLAMIC TERRORISTS OUT of our countr… https://t.co/a7t5QN2iqW,10-28-2016 01:47:08
Twitter for iPhone,Join @TeamTrump on Facebook &amp; watch tonight's rally from Geneva Ohio- our 3rd rally of the day. #AmericaFirst #MAGA https://t.co/ZqJmf4QcwH,10-28-2016 00:14:46
Twitter for iPad,Crooked Hillary launched her political career by letting terrorists off the hook. #DrainTheSwamp… https://t.co/BLMkZQ8svK,10-27-2016 22:37:22
Twitter for Android,"@KeithRowland: People in Arizona just got a taste of Obamacare with a 116% increase in premiums. @realDonaldTrump" Repeal and replace!,10-27-2016 22:27:20
Twitter for Android,I will be interviewed on @oreillyfactor tonight at 8:00 P.M. Enjoy!,10-27-2016 22:23:56
Twitter for iPhone,I delivered a speech in Charlotte North Carolina yesterday. I appreciate all of the feedback &amp; support. Lets #MAGA… https://t.co/aI2HtiRUzr,10-27-2016 22:05:00
Twitter for iPhone,Join me live in Toledo Ohio. Time to #DrainTheSwamp &amp; #MAGA!https://t.co/NU39Mmlh1T,10-27-2016 21:07:48
Twitter for iPhone,Join me in Cedar Rapids Iowa tomorrow at 7:00pm! #MAGAhttps://t.co/QWaEJpzvKN https://t.co/CniHGkjp0v,10-27-2016 21:02:09
Twitter for iPhone,#ICYMI: I agree- To all Americans I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp with me on 11/8.… https://t.co/P2edj2MoXy,10-27-2016 20:27:44
Twitter for iPhone,Thank you Springfield Ohio. Get out and #VoteTrumpPence16!#ICYMI - watch here: https://t.co/dEoXV6oS3b… https://t.co/RNgCUUqO4X,10-27-2016 19:26:05
Twitter for iPhone,Join me live in Springfield Ohio!https://t.co/LREA7WRmOx,10-27-2016 17:45:20
Twitter for iPhone,Inside ‘Bill Clinton Inc.’: Hacked memo reveals intersection of charity and personal income. #DrainTheSwamp!https://t.co/UfDVzeSDfd,10-27-2016 14:49:59
Twitter for iPhone,JOIN ME! #MAGATODAY:Springfield OH Toledo OH Geneva OH FRIDAY:Manchester NH Lisbon ME Cedar Rapids IAhttps://t.co/kv624y9UOm,10-27-2016 14:44:46
Twitter for iPhone,I agree @MMFlint- To all Americans I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp w/ me on 11/8. https://t.co/D7nBwkogBb,10-27-2016 14:32:59
Twitter for iPhone,"Clinton Foundation’s Fundraisers Pressed Donors to Steer Business to Former President"https://t.co/PlFILR6JCn,10-27-2016 14:12:42
Twitter for iPhone,Ron Fournier: "Clinton Used Secret Server To Protect #CircleOfEnrichment”https://t.co/4OGP3tPxyp,10-27-2016 14:10:38
Twitter for iPhone,'WikiLeaks Drip-Drop Releases Prove One Thing: There's No Nov. 8 Deadline on Clinton's Dishonesty and Scandals'https://t.co/MfRy3Nvd4F,10-27-2016 14:08:15
Twitter for Android,A lot of call-ins about vote flipping at the voting booths in Texas. People are not happy. BIG lines. What is going on?,10-27-2016 13:01:12
Twitter for iPhone,Obamacare is a disaster. We must REPEAL &amp; REPLACE. Tired of the lies and want to #DrainTheSwamp? Get out &amp; VOTE… https://t.co/jOelj829Pg,10-27-2016 12:17:57
Twitter for iPhone,Beautiful evening in Kinston North Carolina - thank you! Get out and VOTE!! You can watch tonight's rally here:… https://t.co/x7wtERl55d,10-27-2016 01:57:51
Twitter for iPhone,Thank you Charlotte North Carolina. Great afternoon! #ICYMI - I delivered a speech on urban renewal. Full speech:… https://t.co/ga6DQZrIR0,10-27-2016 01:52:45
Twitter for iPad,Hillary said she was under sniper fire (while surrounded by USSS.) Turned out to be a total lie. She is not fit to… https://t.co/hBIrGj21l6,10-26-2016 21:59:15
Twitter for iPhone,JOIN ME IN OHIO TOMORROW!Springfield-1pm:https://t.co/YcbpSigtvaToledo-4pm:https://t.co/BOJH0l1CZzGeneva-7pm… https://t.co/7qbIRel33u,10-26-2016 18:49:49
Twitter for Android,REPEAL AND REPLACE OBAMACARE!,10-26-2016 11:02:53
Twitter for iPhone,Thank you Tallahassee Florida! A beautiful evening with the MOVEMENT! Get out &amp; VOTE!#ICYMI- watch here: https://t.co/GDKhwrCa9R,10-25-2016 23:31:58
Twitter for iPhone,Thank you Sanford Florida. Get out &amp; VOTE #TrumpPence16! #ICYMI- watch this afternoons rally here:… https://t.co/zVXrScClfd,10-25-2016 22:28:43
Twitter for iPhone,REPEAL AND REPLACE!!! #ObamaCareInThreeWords,10-25-2016 22:01:50
Twitter for iPhone,I have met &amp; spent a lot of time with families @ The Remembrance Project. I will fight for them everyday!… https://t.co/Ot6vQGqVW0,10-25-2016 21:54:05
Twitter for iPhone,Get your ballots in Colorado - I will see you soon -- and we will win!#MakeAmericaGreatAgain https://t.co/oDLvZg7MLk,10-25-2016 21:36:51
Twitter for iPhone,'Obama Warned Of Rigged Elections In 2008.' Time to #DrainTheSwamphttps://t.co/AkczH8l0FJ https://t.co/7mIkwAHTuV,10-25-2016 21:03:40
Twitter for iPhone,Obamacare is a disaster. Rates going through the sky - ready to explode. I will fix it. Hillary can't!#ObamacareFailed,10-25-2016 20:43:45
Twitter for iPhone,Truly honored to receive the first ever presidential endorsement from the Bay of Pigs Veterans Association. #MAGA… https://t.co/aRdlFkVjAx,10-25-2016 18:27:06
Twitter for iPhone,Obamacare is a disaster - as I've been saying from the beginning. Time to repeal &amp; replace! #ObamacareFail https://t.co/5CvoMbVceT,10-25-2016 16:20:43
Twitter for iPhone,#ObamacareFail https://t.co/90Aixp25Oc,10-25-2016 16:10:59
Twitter for iPhone,Obamacare is a disaster! Time to repeal &amp; replace! #ObamacareFail https://t.co/xDPhVczf1g,10-25-2016 15:22:35
Twitter for iPhone,#ObamacareFail https://t.co/5Zvsys8j5w,10-25-2016 15:21:37
Twitter for iPhone,#ObamacareFail https://t.co/Mb0YW1rg6g,10-25-2016 15:20:18
Twitter for iPhone,Get out and vote! I am your voice and I will fight for you! We will make America great again! https://t.co/XXvLRlhSaz,10-25-2016 14:44:51
Twitter for iPhone,Key Obamacare premiums to jump 25% next year:https://t.co/TCdHEdPQDG,10-25-2016 14:39:09
Twitter for iPhone,#Obamacare premiums are about to SKYROCKET --- again. Crooked H will only make it worse. We will repeal &amp; replace! https://t.co/fY1REYV4rK,10-25-2016 14:33:57
Twitter for iPhone,As election looms some bad news for Clinton Democrats:https://t.co/7aWWVQPjTo,10-25-2016 14:31:19
Twitter for iPhone,Record crowd in Tampa Florida- thank you! We will WIN FLORIDA #DrainTheSwamp in Washington D.C. and MAKE AMERICA… https://t.co/IpSUYnXcp6,10-25-2016 01:43:26
Twitter for iPhone,Thank you Bobby Bowden for the intro tonight and your support! I hope I can do as well for Florida as you have done! https://t.co/Vx5iltoaXj,10-25-2016 01:27:16
Twitter for iPhone,My contract with the American voter will restore honesty accountability &amp; CHANGE to Washington! #DrainTheSwamp https://t.co/sbVwctT1Sj,10-25-2016 00:33:07
Twitter for iPhone,Peter Navarro: 'Trump the Bull vs. Clinton the Bear' #DrainTheSwamp https://t.co/mQRkfMG80j,10-24-2016 21:52:36
Twitter for iPhone,'Democratic operative caught on camera: Hillary PERSONALLY ordered 'Donald Duck' troll campaign that broke the law'https://t.co/sTreHAfYUH,10-24-2016 21:50:25
Twitter for iPhone,Join me tomorrow in Sanford or Tallahassee Florida!Sanford at 3pm:https://t.co/PZENw9KhegTallahassee at 6pm:https://t.co/WKI69e1bqD,10-24-2016 21:15:23
Twitter for iPhone,THANK YOU St. Augustine Florida! Get out and VOTE! Join the MOVEMENT - and lets #DrainTheSwamp! Off to Tampa now!… https://t.co/zgwqhy2jBX,10-24-2016 20:39:38
Twitter for iPhone,Join me LIVE on my Facebook page in St. Augustine Florida! Lets #DrainTheSwamp &amp; MAKE AMERICA GREAT AGAIN!… https://t.co/mPzVrcaR9L,10-24-2016 19:01:18
Twitter for iPhone,Honored to receive an endorsement from @SJSOPIO - thank you! Together we are going to MAKE AMERICA SAFE &amp; GREAT AG… https://t.co/PSTcOei5t1,10-24-2016 18:30:43
Twitter for iPhone,'Hillary Clinton Had Gun Control Supporters Planted In Town Hall Audience' https://t.co/1GVq74iW8a,10-24-2016 16:37:58
Twitter for iPhone,Leaving West Palm Beach Florida now - heading to St. Augustine for a 3pm rally. Will be in Tampa at 7pm - join me:… https://t.co/eLunEQRxZq,10-24-2016 16:35:59
Twitter for iPhone,'The Clinton Foundation’s Most Questionable Foreign Donations'#PayToPlay #DrainTheSwamphttps://t.co/IkeqMRjX5z,10-24-2016 16:04:52
Twitter for iPhone,Departing Farmers Round Table in Boynton Beach Florida. Get out &amp; VOTE- lets #MAGA! EARLY VOTING BY FL. COUNTY:… https://t.co/MgJxNbxRga,10-24-2016 15:55:44
Twitter for iPhone,Get out to VOTE on 11/8/2016- and we will #DrainTheSwamp!RASMUSSEN NATIONAL Trump 43%Clinton 41% https://t.co/jIOR7Bq816,10-24-2016 14:46:16
Twitter for iPhone,We are winning and the press is refusing to report it. Don't let them fool you- get out and vote! #DrainTheSwamp on November 8th!,10-24-2016 14:17:35
Twitter for iPhone,Why has nobody asked Kaine about the horrible views emanated on WikiLeaks about Catholics? Media in the tank for Clinton but Trump will win!,10-24-2016 13:05:36
Twitter for Android,Major story that the Dems are making up phony polls in order to suppress the the Trump . We are going to WIN!,10-24-2016 12:44:29
Twitter for Android,Wow just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible. We cannot let this happen - ISIS!,10-24-2016 12:00:02
