word, pTrump, act1, act2, act3
"”",0.10,-1.11,0.85,0.47
"—",0.05,-1.55,1.27,0.86
"@billclinton",0.04,-1.87,1.57,1.09
"on",0.04,-1.95,1.80,1.20
"hillary",0.03,-2.19,2.07,1.39
"helping",0.03,-2.26,2.22,1.41
"<num>",0.04,-2.11,2.27,1.29
"million",0.04,-2.05,2.36,1.26
"kids",0.03,-2.33,2.56,1.42
"get",0.04,-2.13,2.55,1.22
"health",0.03,-2.40,2.75,1.41
"<pic>",0.02,-2.83,3.01,1.61
handle: realDonaldTrump
"happy",0.36,-0.25,0.20,0.24
"easter",0.26,-0.39,0.38,0.37
"to",0.17,-0.58,0.56,0.49
"all",0.17,-0.55,0.65,0.48
",",0.15,-0.57,0.73,0.47
"have",0.15,-0.54,0.78,0.47
"a",0.11,-0.73,0.93,0.57
"great",0.26,-0.25,0.68,0.15
"day",0.16,-0.47,0.85,0.42
"!",0.46,0.07,0.39,-0.13
handle: HillaryClinton
"don",0.53,-0.03,0.00,-0.03
"’",0.45,-0.23,0.07,0.01
"t",0.53,-0.17,-0.01,-0.14
"let",0.38,-0.41,0.15,0.02
"anyone",0.22,-0.74,0.41,0.26
"tell",0.16,-0.92,0.58,0.34
"you",0.11,-1.10,0.80,0.49
"that",0.09,-1.15,0.97,0.60
"our",0.07,-1.29,1.15,0.69
"country",0.10,-0.99,1.08,0.47
"is",0.13,-0.74,1.00,0.34
"weak",0.20,-0.41,0.85,0.20
"—",0.09,-0.85,1.21,0.62
"we",0.07,-1.08,1.35,0.69
"’",0.05,-1.32,1.52,0.82
"re",0.04,-1.65,1.80,1.07
"not",0.04,-1.66,1.91,1.07
".",0.03,-1.74,2.07,1.18
"don",0.04,-1.77,2.18,1.20
"’",0.03,-1.97,2.33,1.28
"t",0.04,-1.87,2.33,1.16
"let",0.03,-2.07,2.49,1.31
"anyone",0.03,-2.34,2.68,1.45
"tell",0.03,-2.44,2.76,1.46
"you",0.03,-2.54,2.88,1.51
"we",0.03,-2.66,2.95,1.49
"don",0.03,-2.58,2.98,1.45
"’",0.03,-2.70,3.05,1.49
"t",0.03,-2.53,2.99,1.33
"have",0.04,-2.37,2.96,1.28
"what",0.03,-2.54,3.04,1.37
"it",0.03,-2.55,3.07,1.39
"takes",0.03,-2.66,3.14,1.45
"—",0.03,-3.00,3.37,1.64
"we",0.03,-3.09,3.40,1.59
"do",0.03,-2.97,3.39,1.57
".",0.03,-2.93,3.41,1.61
handle: realDonaldTrump
"thank",0.75,0.41,-0.31,-0.38
"you",0.71,0.24,-0.29,-0.32
"!",0.88,0.65,-0.70,-0.81
"#trump2016",0.89,0.88,-1.01,-1.22
"<url>",0.94,0.91,-1.18,-1.41
handle: realDonaldTrump
"#makeamericagreatagain",0.79,0.46,-0.40,-0.52
"#trump2016",0.88,0.76,-0.77,-0.96
"<url>",0.93,0.82,-1.00,-1.17
handle: HillaryClinton
"please",0.61,0.11,-0.12,-0.13
"explain",0.65,0.18,-0.18,-0.17
"to",0.58,-0.00,-0.11,-0.10
"me",0.79,0.41,-0.43,-0.51
"what",0.73,0.13,-0.37,-0.45
"part",0.73,0.11,-0.39,-0.45
"of",0.70,0.01,-0.36,-0.40
"america",0.72,-0.01,-0.39,-0.47
"first",0.66,-0.15,-0.32,-0.42
"leads",0.60,-0.28,-0.22,-0.32
"him",0.62,-0.25,-0.23,-0.38
"to",0.53,-0.44,-0.12,-0.29
"make",0.53,-0.51,-0.09,-0.37
"trump",0.38,-0.85,0.10,-0.23
"ties",0.35,-0.92,0.21,-0.18
"in",0.30,-0.95,0.29,-0.11
"china",0.33,-0.82,0.29,-0.15
",",0.31,-0.84,0.31,-0.15
"not",0.31,-0.86,0.33,-0.16
"colorado",0.41,-0.61,0.22,-0.27
".",0.34,-0.69,0.25,-0.16
"trump",0.22,-1.03,0.45,0.02
"suits",0.20,-1.08,0.56,0.07
"in",0.16,-1.10,0.67,0.18
"mexico",0.16,-0.96,0.71,0.18
",",0.14,-0.98,0.77,0.22
"not",0.13,-1.01,0.83,0.25
"michigan",0.15,-0.88,0.85,0.23
".",0.10,-0.97,0.95,0.39
""",0.06,-1.30,1.27,0.72
""",0.04,-1.63,1.59,1.02
handle: realDonaldTrump
"#makeamericagreatagain",0.79,0.46,-0.40,-0.52
"#nyprimary",0.80,0.43,-0.50,-0.57
"<url>",0.89,0.56,-0.75,-0.80
handle: realDonaldTrump
"how",0.54,0.00,-0.01,-0.04
"come",0.60,0.08,-0.10,-0.13
"the",0.55,-0.00,-0.06,-0.05
"@todayshow",0.62,0.09,-0.14,-0.17
"&",0.82,0.50,-0.53,-0.64
"amp",0.92,0.82,-0.88,-1.07
